,country,year,born,male_born,female_born,birth_rate,fertility_rate,variation
847,hong_kong,2020,,,,5.8,0.87,-17.41
848,honduras,2020,,,,21.06,2.39,-1.36
849,croatia,2021,36508.0,18389.0,17456.0,9.2,1.48,0.68
850,haiti,2020,,,,23.58,2.84,-1.56
851,hungary,2021,94003.0,48273.0,45534.0,9.7,1.59,2.58
852,indonesia,2020,,,,17.45,2.27,-0.96
853,ireland,2021,58440.0,28902.0,27057.0,11.6,1.63,-4.68
854,israel,2020,,,,19.2,2.9,-3.65
855,india,2020,,,,17.44,2.18,-0.82
856,iraq,2020,,,,28.14,3.54,-1.67
857,iran,2020,,,,17.94,2.14,-0.19
858,iceland,2021,4879.0,2385.0,2127.0,13.1,1.72,-1.15
859,jamaica,2020,,,,15.7,1.95,-0.76
860,jordan,2020,,,,21.11,2.64,-1.93
861,kenya,2020,,,,27.94,3.37,-1.69
862,kyrgyzstan,2020,,,,24.0,3.0,-9.09
863,cambodia,2020,,,,21.56,2.45,-1.01
864,kiribati,2020,,,,27.0,3.49,-1.05
865,comoros,2020,,,,30.95,4.07,-1.57
866,saint_kitts_nevis,2019,,,,11.2,2.11,-12.21
867,north_korea,2020,,,,13.78,1.89,-0.47
868,south_korea,2021,260562.0,,,5.1,0.81,-3.46
869,kuwait,2020,,,,12.62,2.07,-0.43
870,kazakhstan,2020,,,,22.76,3.13,7.93
871,laos,2020,,,,22.66,2.58,-1.64
872,lebanon,2020,,,,17.17,2.06,-0.72
873,st._lucia,2020,,,,11.66,1.41,-0.91
874,liechtenstein,2021,375.0,165.0,188.0,9.6,1.46,-1.35
875,sri_lanka,2020,,,,15.25,2.17,-0.64
876,liberia,2020,,,,32.36,4.18,-1.51
877,lesotho,2020,,,,26.0,3.07,-1.22
878,lithuania,2021,23330.0,13029.0,12115.0,8.3,1.48,-8.07
879,luxembourg,2021,6690.0,3296.0,3163.0,10.5,1.36,1.49
880,latvia,2021,17420.0,9036.0,8516.0,9.2,1.55,-3.73
881,libya,2020,,,,17.81,2.18,-1.41
882,morocco,2020,,,,18.1,2.35,-1.22
883,monaco,2018,227.0,,,462.0,432.0,5.9
884,moldova,2020,30730.0,16111.0,14619.0,11.7,1.28,0.71
885,montenegro,2021,7033.0,3674.0,3423.0,11.4,1.75,-1.13
886,madagascar,2020,,,,32.15,3.98,-1.24
887,marshall_islands,2011,,,,29.0,4.05,-10.0
888,north_macedonia,2021,18648.0,9796.0,9235.0,9.5,1.31,-2.24
889,mali,2020,,,,40.56,5.69,-1.59
890,myanmar,2020,,,,17.23,2.12,-0.8
891,mongolia,2020,,,,22.56,2.83,-1.15
892,mauritania,2020,,,,32.84,4.45,-1.2
893,malt,2021,4395.0,2283.0,2131.0,8.5,1.13,-0.88
894,mauricio,2020,,,,10.6,1.44,2.86
895,maldives,2020,,,,13.06,1.82,-1.36
896,malawi,2020,,,,33.42,4.06,-1.74
897,mexico,2020,1629211.0,828944.0,800264.0,17.01,2.08,-1.14
898,malaysia,2020,,,,16.44,1.97,-0.91
899,mozambique,2020,,,,36.81,4.71,-1.46
900,namibia,2020,,,,27.66,3.29,-1.53
901,niger,2020,,,,45.21,6.74,-1.3
902,nigeria,2020,,,,37.01,5.25,-1.3
903,nicaragua,2020,,,,19.79,2.35,-1.18
904,netherlands,2021,179441.0,86497.0,82184.0,10.2,1.54,-1.91
905,norway,2021,56060.0,27063.0,25916.0,10.4,1.48,-3.27
906,nepal,2020,,,,19.26,1.85,-1.65
907,new_zealand,2020,,,,11.32,1.61,-6.4
908,oman,2020,,,,17.78,2.78,-2.08
909,panama,2020,,,,18.45,2.42,-0.9
910,peru,2020,421096.0,,,12.9,2.21,-0.94
911,papua_new_guinea,2020,,,,26.52,3.48,-1.22
912,philippines,2020,,,,19.89,2.49,-1.43
913,pakistan,2020,,,,27.38,3.39,-1.74
914,poland,2021,331511.0,182300.0,173009.0,8.8,1.39,-3.47
915,state_of_palestine,2020,,,,28.21,3.49,-1.99
916,palau,2020,,,,11.0,2.21,-0.9
917,paraguayan,2020,,,,20.09,2.38,-0.91
918,taste,2020,,,,9.23,1.83,-1.03
919,romania,2021,178496.0,102340.0,95962.0,9.3,1.8,1.69
920,serbian,2021,62180.0,31783.0,29909.0,9.1,1.48,-2.63
921,russia,2020,1940579.0,984552.0,928920.0,9.8,1.51,0.07
922,rwanda,2020,,,,30.73,3.93,-1.6
923,saudi_arabia,2020,,,,16.81,2.24,-1.63
924,solomon_islands,2020,,,,31.45,4.31,-1.19
925,seychelles,2020,,,,15.8,2.29,-2.97
926,sudan,2020,,,,31.49,4.29,-1.33
927,sweden,2021,114263.0,58255.0,54822.0,11.0,1.67,-2.34
928,singapore,2020,,,,8.5,1.1,-3.51
929,slovenia,2021,18984.0,9693.0,9074.0,9.0,1.59,-1.24
930,slovakia,2021,56565.0,28928.0,27722.0,10.4,1.59,1.27
931,sierra_leone,2020,,,,32.35,4.08,-2.21
932,san_marino,2021,212.0,121.0,107.0,6.2,1.26,
